Date,Open,High,Low,Close,Adj Close,Volume,HM4UP,LM4DN
2009-01-01,1578.869995,1665.630005,1434.079956,1476.420044,1476.420044,39995600000,,
2009-02-01,1460.849976,1598.5,1372.420044,1377.839966,1377.839966,42380620000,1,1
2009-03-01,1356.130005,1587,1265.52002,1528.589966,1528.589966,49480930000,1,1
2009-04-01,1504.869995,1753.609985,1498.540039,1717.300049,1717.300049,48683640000,1,0
2009-05-01,1719.290039,1774.329956,1664.189941,1774.329956,1774.329956,47352030000,0,0
2009-06-01,1796.089966,1879.920044,1753.780029,1835.040039,1835.040039,51881250000,1,0
2009-07-01,1846.119995,2009.810059,1727.050049,1978.5,1978.5,47084360000,1,1
2009-08-01,1998.349976,2059.47998,1929.640015,2009.060059,2009.060059,44011670000,0,0
2009-09-01,2001.300049,2167.699951,1958.040039,2122.419922,2122.419922,49652910000,1,0
2009-10-01,2111.77002,2190.639893,2040.209961,2045.109985,2045.109985,50489640000,0,0
2009-11-01,2047.420044,2205.320068,2024.27002,2144.600098,2144.600098,38877300000,1,0
2009-12-01,2162.22998,2295.800049,2155.959961,2269.149902,2269.149902,39269070000,1,0
2010-01-01,2294.409912,2326.280029,2140.340088,2147.350098,2147.350098,45625830000,0,1
2010-02-01,2155.810059,2251.679932,2100.169922,2238.26001,2238.26001,42835360000,1,0
2010-03-01,2247.399902,2432.25,2247.330078,2397.959961,2397.959961,54955550000,1,0
2010-04-01,2411.679932,2535.280029,2383.77002,2461.189941,2461.189941,54528540000,1,0
2010-05-01,2472.320068,2503,2140.530029,2257.040039,2257.040039,57203120000,0,1
2010-06-01,2244.790039,2341.110107,2105.26001,2109.23999,2109.23999,48633730000,1,1
2010-07-01,2110.75,2307.600098,2061.139893,2254.699951,2254.699951,43910370000,1,0
2010-08-01,2283.320068,2309.429932,2099.290039,2114.030029,2114.030029,41794240000,0,1
2010-09-01,2142.75,2400.060059,2141.949951,2368.620117,2368.620117,41586870000,1,0
2010-10-01,2386.820068,2517.5,2332.459961,2507.409912,2507.409912,41539760000,1,0
2010-11-01,2520.449951,2592.939941,2459.790039,2498.22998,2498.22998,40893560000,0,0
2010-12-01,2535.189941,2675.26001,2535.189941,2652.870117,2652.870117,36306890000,1,0
2011-01-01,2676.649902,2766.169922,2663.639893,2700.080078,2700.080078,40221760000,0,0
2011-02-01,2717.610107,2840.51001,2705.540039,2782.27002,2782.27002,39225340000,1,0
2011-03-01,2791.080078,2802.320068,2603.5,2781.070068,2781.070068,45049990000,0,1
2011-04-01,2796.669922,2876.830078,2706.5,2873.540039,2873.540039,38024600000,0,0
2011-05-01,2881.280029,2887.75,2739.850098,2835.300049,2835.300049,42067110000,0,1
2011-06-01,2829.389893,2834.050049,2599.860107,2773.52002,2773.52002,42570710000,0,1
2011-07-01,2775.080078,2878.939941,2724.98999,2756.379883,2756.379883,37282980000,0,0
2011-08-01,2791.449951,2796.23999,2331.649902,2579.459961,2579.459961,56977870000,0,1
2011-09-01,2583.340088,2643.370117,2414.310059,2415.399902,2415.399902,42996470000,0,1
2011-10-01,2401.189941,2753.370117,2298.889893,2684.409912,2684.409912,42787830000,1,1
2011-11-01,2607.310059,2730.389893,2441.47998,2620.340088,2620.340088,38397210000,1,1
2011-12-01,2615.669922,2674.530029,2518.01001,2605.149902,2605.149902,33177490000,0,0
2012-01-01,2657.389893,2834.300049,2627.22998,2813.840088,2813.840088,35325900000,1,0
2012-02-01,2830.100098,3000.110107,2825.189941,2966.889893,2966.889893,37728460000,1,0
2012-03-01,2979.110107,3134.169922,2900.280029,3091.570068,3091.570068,36686310000,1,0
2012-04-01,3085.939941,3128.25,2946.040039,3046.360107,3046.360107,33793990000,0,1
2012-05-01,3044.790039,3085.399902,2774.449951,2827.340088,2827.340088,40115930000,0,1
2012-06-01,2810.129883,2942.280029,2726.679932,2935.050049,2935.050049,37458650000,1,0
2012-07-01,2938.409912,2987.939941,2837.719971,2939.52002,2939.52002,34686680000,0,0
2012-08-01,2956.719971,3100.540039,2890.850098,3066.959961,3066.959961,35708950000,1,0
2012-09-01,3063.25,3196.929932,3040.23999,3116.22998,3116.22998,33719730000,1,0
2012-10-01,3130.310059,3171.459961,2961.159912,2977.22998,2977.22998,36367020000,0,1
2012-11-01,2987.540039,3033.850098,2810.800049,3010.23999,3010.23999,36894240000,0,1
2012-12-01,3029.209961,3061.820068,2951.040039,3019.51001,3019.51001,33522490000,0,0
2013-01-01,3091.330078,3164.060059,3076.600098,3142.129883,3142.129883,39027620000,0,0
2013-02-01,3162.939941,3213.600098,3105.360107,3160.189941,3160.189941,35765430000,0,0
2013-03-01,3143.540039,3270.300049,3129.399902,3267.52002,3267.52002,33749180000,1,0
2013-04-01,3268.629883,3328.790039,3154.959961,3328.790039,3328.790039,36904330000,0,0
2013-05-01,3325.350098,3532.040039,3296.5,3455.909912,3455.909912,39144080000,1,0
2013-06-01,3460.76001,3488.310059,3294.949951,3403.25,3403.25,37528250000,0,1
2013-07-01,3430.47998,3649.350098,3415.22998,3626.370117,3626.370117,35889520000,1,0
2013-08-01,3654.179932,3694.189941,3573.570068,3589.870117,3589.870117,32934650000,0,0
2013-09-01,3622.639893,3798.76001,3593.620117,3771.47998,3771.47998,34997740000,1,0
2013-10-01,3774.179932,3966.709961,3650.030029,3919.709961,3919.709961,43017190000,1,0
2013-11-01,3932.449951,4069.699951,3855.070068,4059.889893,4059.889893,35818470000,0,0
2013-12-01,4065.659912,4177.72998,3979.590088,4176.589844,4176.589844,37139280000,0,0
2014-01-01,4160.029785,4246.549805,4044.76001,4103.879883,4103.879883,45227610000,0,0
2014-02-01,4105.060059,4342.589844,3968.189941,4308.120117,4308.120117,39978180000,1,0
2014-03-01,4261.419922,4371.709961,4131.810059,4198.990234,4198.990234,46796180000,0,0
2014-04-01,4219.870117,4286.089844,3946.030029,4114.560059,4114.560059,44391220000,0,1
2014-05-01,4121.25,4252.080078,4021.050049,4242.620117,4242.620117,39290130000,0,0
2014-06-01,4247.959961,4417.459961,4207.609863,4408.180176,4408.180176,40249370000,0,0
2014-07-01,4424.709961,4485.930176,4351.040039,4369.77002,4369.77002,39536410000,0,0
2014-08-01,4363.390137,4580.27002,4321.890137,4580.27002,4580.27002,33417300000,1,0
