Date,USSLIND,USSLINDrate
2011-07-01,1.3,0.07438016528925617
2011-08-01,1.61,0.2384615384615385
2011-09-01,1.35,-0.16149068322981364
2011-10-01,1.53,0.1333333333333333
2011-11-01,1.79,0.16993464052287588
2011-12-01,1.72,-0.03910614525139666
2012-01-01,1.95,0.13372093023255816
2012-02-01,1.89,-0.03076923076923077
2012-03-01,1.89,0.0
2012-04-01,1.77,-0.06349206349206349
2012-05-01,1.68,-0.05084745762711873
2012-06-01,1.46,-0.13095238095238093
2012-07-01,1.43,-0.020547945205479423
2012-08-01,1.41,-0.013986013986013957
2012-09-01,1.62,0.14893617021276606
2012-10-01,1.85,0.14197530864197527
2012-11-01,1.41,-0.23783783783783796
2012-12-01,1.59,0.1276595744680853
2013-01-01,1.67,0.05031446540880502
2013-02-01,2.01,0.2035928143712573
2013-03-01,1.78,-0.11442786069651734
2013-04-01,1.7,-0.0449438202247191
2013-05-01,1.66,-0.02352941176470591
2013-06-01,1.55,-0.06626506024096379
2013-07-01,1.52,-0.01935483870967747
2013-08-01,1.67,0.09868421052631571
2013-09-01,1.75,0.04790419161676662
2013-10-01,1.41,-0.19428571428571428
2013-11-01,1.58,0.12056737588652489
2013-12-01,1.52,-0.03797468354430378
2014-01-01,1.86,0.22368421052631593
2014-02-01,1.44,-0.22580645161290325
2014-03-01,1.51,0.04861111111111116
2014-04-01,1.83,0.21192052980132448
2014-05-01,1.9,0.0382513661202184
2014-06-01,2.0,0.05263157894736836
2014-07-01,1.94,-0.030000000000000027
2014-08-01,1.75,-0.09793814432989689
2014-09-01,1.97,0.12571428571428567
2014-10-01,2.07,0.050761421319796884
2014-11-01,1.78,-0.14009661835748788
2014-12-01,2.06,0.1573033707865168
2015-01-01,1.7,-0.1747572815533981
2015-02-01,1.7,0.0
2015-03-01,1.73,0.01764705882352935
2015-04-01,1.77,0.023121387283236983
2015-05-01,1.95,0.10169491525423724
2015-06-01,1.75,-0.10256410256410253
2015-07-01,1.89,0.07999999999999985
2015-08-01,1.82,-0.03703703703703698
2015-09-01,1.8,-0.01098901098901095
2015-10-01,1.62,-0.09999999999999998
2015-11-01,1.58,-0.024691358024691357
2015-12-01,1.66,0.05063291139240489
2016-01-01,1.41,-0.1506024096385542
2016-02-01,1.7,0.2056737588652482
2016-03-01,1.59,-0.06470588235294106
2016-04-01,1.59,0.0
2016-05-01,1.45,-0.0880503144654089
2016-06-01,1.48,0.020689655172413834
2016-07-01,1.51,0.020270270270270396
2016-08-01,1.56,0.0331125827814569
2016-09-01,1.36,-0.1282051282051282
2016-10-01,1.25,-0.08088235294117652
2016-11-01,1.72,0.3759999999999999
2016-12-01,1.65,-0.04069767441860472
2017-01-01,1.77,0.07272727272727275
2017-02-01,1.57,-0.11299435028248583
2017-03-01,1.69,0.07643312101910826
2017-04-01,1.58,-0.06508875739644959
2017-05-01,1.39,-0.12025316455696211
2017-06-01,1.51,0.08633093525179869
2017-07-01,1.41,-0.06622516556291391
2017-08-01,1.38,-0.021276595744680882
2017-09-01,1.19,-0.1376811594202898
2017-10-01,1.59,0.33613445378151274
2017-11-01,1.45,-0.0880503144654089
2017-12-01,1.54,0.0620689655172415
2018-01-01,1.61,0.045454545454545414
2018-02-01,1.65,0.024844720496894235
2018-03-01,1.65,0.0
2018-04-01,1.61,-0.024242424242424176
2018-05-01,1.6,-0.006211180124223614
2018-06-01,1.61,0.006250000000000089
2018-07-01,1.43,-0.11180124223602494
2018-08-01,1.55,0.08391608391608396
2018-09-01,1.36,-0.1225806451612903
2018-10-01,1.41,0.03676470588235281
2018-11-01,1.12,-0.20567375886524808
2018-12-01,1.12,0.0
2019-01-01,1.11,-0.008928571428571397
2019-02-01,1.16,0.04504504504504481
2019-03-01,1.25,0.07758620689655182
2019-04-01,1.5,0.19999999999999996
2019-05-01,1.45,-0.033333333333333326
2019-06-01,1.14,-0.21379310344827596
2019-07-01,1.27,0.11403508771929838
2019-08-01,1.3,0.023622047244094446
2019-09-01,1.48,0.1384615384615384
2019-10-01,1.34,-0.09459459459459452
2019-11-01,1.33,-0.007462686567164201
2019-12-01,1.45,0.09022556390977443
